key,document_id,transform_number,L01,L02,L04,L05,S01,S02,S03,S06,S08,R01,M01,D04,D05,C01,C02,F04,F05,F06,F01,R06,R07,P01
t10:human_hard_rusltc_0068,human_hard_rusltc_0068,10,93.82334786460066,0.8150174216027875,0.7381615598885793,0.6757624398073836,17.305555555555557,1.136202215248168,15,5.555555555555555,0.16666666666666666,1.136202215248168,0.09442248400636048,4.815409309791332,0.0,63.10679611650485,50.16181229773463,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t10:human_hard_rusltc_0073,human_hard_rusltc_0073,10,159.2473099869838,0.8612079378774806,0.6803418803418804,0.6514900662251656,16.77777777777778,0.5273670875878742,14,2.7777777777777777,0.08333333333333333,0.5273670875878742,0.09125161067557831,2.4834437086092715,0.8278145695364238,29.850746268656717,11.608623548922056,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t10:human_news_buriy_2014_0027,human_news_buriy_2014_0027,10,110.0070181746862,0.8395264116575591,0.7026143790849673,0.5869565217391305,19.29032258064516,0.6833106867516916,10,3.125,0.125,0.6833106867516916,0.09549535222297316,5.016722408026756,3.3444816053511706,36.42384105960265,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t10:human_news_buriy_2014_0034,human_news_buriy_2014_0034,10,173.46990024285552,0.8807073170731706,0.710239651416122,0.7031070195627158,18.891304347826086,0.5596744719966769,15,2.1739130434782608,0.0,0.5596744719966769,0.09191973576684219,1.1507479861910241,0.0,67.42857142857143,43.42857142857142,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t10:human_news_gazeta_0031,human_news_gazeta_0031,10,147.94892865838813,0.8637837837837837,0.6571428571428571,0.6783216783216783,18.81578947368421,0.43332993592554736,9,0.0,0.21052631578947367,0.43332993592554736,0.07128447908852065,2.797202797202797,0.0,55.710306406685234,12.534818941504179,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t10:human_news_gazeta_0040,human_news_gazeta_0040,10,127.41453488372093,0.8589968652037617,0.6676646706586826,0.6797671033478894,22.9,0.4312796475819189,10,0.0,0.0,0.4312796475819189,0.11385055010671624,4.366812227074236,0.0,67.43185078909612,22.95552367288379,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t10:human_news_lenta_0001,human_news_lenta_0001,10,164.89709660455475,0.8856666666666667,0.6563573883161512,0.7032136105860114,20.346153846153847,0.5426838938605323,11,0.0,0.0,0.5426838938605323,0.07100276738101,1.890359168241966,0.0,56.497175141242934,20.71563088512241,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t10:human_news_lenta_0016,human_news_lenta_0016,10,261.4359478972044,0.8967218045112783,0.7892376681614349,0.6974789915966386,12.526315789473685,0.4042887747375592,8,5.2631578947368425,0.14035087719298245,0.4042887747375592,0.09206508623378142,7.002801120448179,0.0,66.21621621621622,60.81081081081081,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t10:human_prose_taiga_arzamas_0050,human_prose_taiga_arzamas_0050,10,133.3946629213483,0.8556911344137274,0.7421602787456446,0.6602914389799636,16.388059701492537,0.6582313650265679,11,4.477611940298507,0.05970149253731343,0.6582313650265679,0.0910264049064427,8.19672131147541,2.73224043715847,28.864059590316575,19.945602901178603,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t10:human_prose_taiga_arzamas_0051,human_prose_taiga_arzamas_0051,10,193.8404255319149,0.86603629417383,0.6857638888888888,0.6906934306569343,15.43661971830986,0.5285265294318848,11,0.0,0.04225352112676056,0.5285265294318848,0.09074558301788428,2.7372262773722627,0.0,82.58527827648116,10.771992818671453,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t10:human_prose_taiga_magazines_0048,human_prose_taiga_magazines_0048,10,186.7891953319912,0.8653211009174311,0.705,0.626266416510319,11.95067264573991,1.0157521435558998,13,13.90134529147982,0.09865470852017937,1.0157521435558998,0.0914660679979108,6.378986866791744,10.881801125703564,51.87637969094923,1.4716703458425313,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t10:human_prose_taiga_magazines_0053,human_prose_taiga_magazines_0053,10,256.3867525996534,0.8462116040955632,0.8557919621749409,0.6377952755905512,28.863636363636363,1.180584413366077,16,18.181818181818183,0.0,1.180584413366077,0.07784584357443798,9.448818897637794,3.1496062992125986,50.445103857566764,1.4836795252225519,0.0,0.0,0.0,0.0,0.0,0.0,0.0029673590504450953
t10:human_prose_taiga_proza_0034,human_prose_taiga_proza_0034,10,119.45976971411284,0.8471535580524344,0.7080536912751678,0.5677530017152659,13.55813953488372,0.5092990497537843,11,4.651162790697675,0.046511627906976744,0.5092990497537843,0.0917673491115981,1.7152658662092624,1.7152658662092624,43.04635761589404,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t10:human_prose_taiga_proza_0056,human_prose_taiga_proza_0056,10,202.2121835744195,0.8642032332563511,0.7792706333973128,0.6371584699453552,14.758064516129032,0.6067656388166391,12,1.6129032258064515,0.0967741935483871,0.6067656388166391,0.0893543895724274,6.557377049180328,1.092896174863388,28.42105263157895,1.0526315789473684,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t10:human_science_cyberleninka_0026,human_science_cyberleninka_0026,10,206.85486891385767,0.88442996742671,0.6687116564417178,0.7071260767423649,18.242857142857144,0.8958431298129845,17,1.4285714285714286,0.14285714285714285,0.8958431298129845,0.0960850978463849,7.830853563038371,0.0,84.2433697347894,62.402496099843994,0.0,0.0,0.0,0.0,0.0,0.0,0.00858034321372858
t10:human_science_cyberleninka_0031,human_science_cyberleninka_0031,10,108.67125722658247,0.8222617801047121,0.589873417721519,0.7081673306772909,13.03896103896104,0.7234627202471677,14,12.987012987012987,0.07792207792207792,0.7234627202471677,0.09679830081827272,7.968127490039841,0.0,9.892827699917559,81.61582852431987,0.0,0.0,0.0,0.0,0.0,0.0,0.1780708985985161
t10:human_science_cyberleninka_0032,human_science_cyberleninka_0032,10,90.5842870835986,0.826395061728395,0.6017699115044248,0.6251455180442375,23.86111111111111,0.45878091962005074,12,0.0,0.1111111111111111,0.45878091962005074,0.12000329145979857,3.492433061699651,0.0,23.4192037470726,91.33489461358313,0.0,0.0,0.0,0.0,0.0,0.0,0.014051522248243575
t10:human_science_cyberleninka_0053,human_science_cyberleninka_0053,10,88.5297823849406,0.8075020475020476,0.6536430834213305,0.5335206744279406,16.070967741935483,0.7635720773359936,18,1.8518518518518519,0.18518518518518517,0.7635720773359936,0.1411863540647284,4.014452027298274,0.0,48.1283422459893,248.6631016042781,0.0,0.0,0.0,5.614973262032086,0.0,5.614973262032086,0.35427807486631013
