document_id,transform_number,origin_class,genre,n_models,mean_delta_prob,instability_rate,flip_rate,max_abs_delta
gpt_b004_P1_r1,3,A,seo,4,0.0000000000,0.000000,0.000000,0.0000000000
gpt_b004_P1_r1,4,A,seo,4,-0.1611322242,0.750000,0.750000,0.2733926240
gpt_b004_P1_r1,5,A,seo,4,-0.0039754034,0.000000,0.000000,0.0076576436
gpt_b004_P1_r1,10,A,seo,4,-0.0424013402,0.500000,0.250000,0.0743056337
gpt_b004_P1_r1,11,A,seo,4,-0.7413628399,1.000000,1.000000,0.9984377412
gpt_b004_P1_r1,13,A,seo,4,-0.0125264350,0.000000,0.000000,0.0231934775
gpt_b004_P1_r1,15,A,seo,4,0.0001874005,0.000000,0.000000,0.0061192119
gpt_b004_P1_r1,16,A,seo,4,0.0000000000,0.000000,0.000000,0.0000000000
gpt_b004_P3_r1,1,A,seo,4,-0.0004595325,0.000000,0.000000,0.0008648907
gpt_b004_P3_r1,2,A,seo,4,0.0000000000,0.000000,0.000000,0.0000000000
gpt_b004_P3_r1,3,A,seo,4,0.0000000000,0.000000,0.000000,0.0000000000
gpt_b004_P3_r1,4,A,seo,4,-0.0628037399,0.750000,0.000000,0.1181826611
gpt_b004_P3_r1,5,A,seo,4,-0.0013882498,0.000000,0.000000,0.0031751980
gpt_b004_P3_r1,10,A,seo,4,-0.0664023434,0.250000,0.000000,0.2679924572
gpt_b004_P3_r1,11,A,seo,4,-0.8318427887,1.000000,1.000000,0.9995901415
gpt_b004_P3_r1,13,A,seo,4,-0.0212561147,0.250000,0.000000,0.0535864014
gpt_b004_P3_r1,15,A,seo,4,-0.0084761517,0.000000,0.000000,0.0285403318
gpt_b004_P3_r1,16,A,seo,4,0.0000000000,0.000000,0.000000,0.0000000000
gpt_b021_P3_r2,1,A,analytics,3,0.0000004882,0.000000,0.000000,0.0000012857
gpt_b021_P3_r2,2,A,analytics,3,-0.0007242318,0.000000,0.000000,0.0018021125
gpt_b021_P3_r2,3,A,analytics,3,0.0000000000,0.000000,0.000000,0.0000000000
gpt_b021_P3_r2,4,A,analytics,3,-0.0004516401,0.000000,0.000000,0.0011933121
gpt_b021_P3_r2,5,A,analytics,3,-0.0000195978,0.000000,0.000000,0.0000516022
gpt_b021_P3_r2,10,A,analytics,3,-0.0064983084,0.000000,0.000000,0.0167401020
gpt_b021_P3_r2,11,A,analytics,3,-0.7120286596,1.000000,0.666667,0.9977702110
gpt_b021_P3_r2,13,A,analytics,3,-0.0006618236,0.000000,0.000000,0.0015576866
