document_id,feature_id,genre_percentile
deepseek_pro_b001_P2_r2,F02,0.3739
deepseek_pro_b001_P2_r2,F03,0.6396
deepseek_pro_b001_P2_r2,F04,0.0000
deepseek_pro_b001_P2_r2,F05,0.0000
deepseek_pro_b001_P2_r2,F06,0.0000
deepseek_pro_b001_P2_r2,F07,0.0000
deepseek_pro_b001_P2_r2,F08,0.2611
deepseek_pro_b001_P2_r2,L01,0.5804
deepseek_pro_b001_P2_r2,L02,0.9036
deepseek_pro_b001_P2_r2,L03,0.3063
deepseek_pro_b001_P2_r2,L04,0.5127
deepseek_pro_b001_P2_r2,L05,0.2555
deepseek_pro_b001_P2_r2,L06,0.6667
deepseek_pro_b001_P2_r2,L07,0.9932
deepseek_pro_b001_P2_r2,L08,0.7817
deepseek_pro_b001_P2_r2,L09,0.5296
deepseek_pro_b001_P2_r2,M01,0.3401
deepseek_pro_b001_P2_r2,M02,0.4044
deepseek_pro_b001_P2_r2,M05,0.8816
deepseek_pro_b001_P2_r2,P01,0.8156
deepseek_pro_b001_P2_r2,R01,0.3215
deepseek_pro_b001_P2_r2,R02,0.6210
deepseek_pro_b001_P2_r2,R03,0.8663
deepseek_pro_b001_P2_r2,R04,0.8308
deepseek_pro_b001_P2_r2,R05,0.7225
deepseek_pro_b001_P2_r2,R06,0.7310
deepseek_pro_b001_P2_r2,R07,0.7191
deepseek_pro_b001_P2_r2,S01,0.7970
deepseek_pro_b001_P2_r2,S02,0.3215
deepseek_pro_b001_P2_r2,S03,0.3909
deepseek_pro_b001_P2_r2,S04,0.5042
deepseek_pro_b001_P2_r2,S05,0.6870
deepseek_pro_b001_P2_r2,S06,0.3316
deepseek_pro_b001_P2_r2,S07,0.2420
deepseek_pro_b001_P2_r2,S08,0.9272
deepseek_pro_b001_P2_r2,S09,0.1404
deepseek_pro_b001_P2_r2,S10,0.0000
deepseek_pro_b001_P2_r2,X01,0.0000
deepseek_pro_b001_P2_r2,X02,0.8553
deepseek_pro_b001_P2_r2,X05,0.4278
deepseek_pro_b001_P3_r1,C01,0.7360
deepseek_pro_b001_P3_r1,C02,0.1320
deepseek_pro_b001_P3_r1,C03,0.0000
deepseek_pro_b001_P3_r1,C05,0.8308
deepseek_pro_b001_P3_r1,C06,0.0000
deepseek_pro_b001_P3_r1,D04,0.8122
deepseek_pro_b001_P3_r1,D05,0.0000
deepseek_pro_b001_P3_r1,F01,0.6074
deepseek_pro_b001_P3_r1,F02,0.8139
deepseek_pro_b001_P3_r1,F03,0.9120
deepseek_pro_b001_P3_r1,F04,0.0000
deepseek_pro_b001_P3_r1,F05,0.0000
deepseek_pro_b001_P3_r1,F06,0.0000
deepseek_pro_b001_P3_r1,F07,0.0000
deepseek_pro_b001_P3_r1,F08,0.0000
deepseek_pro_b001_P3_r1,L01,0.2589
deepseek_pro_b001_P3_r1,L02,0.3046
deepseek_pro_b001_P3_r1,L03,0.4044
deepseek_pro_b001_P3_r1,L04,0.4315
deepseek_pro_b001_P3_r1,L05,0.4941
deepseek_pro_b001_P3_r1,L06,0.4585
deepseek_pro_b001_P3_r1,L07,0.5922
deepseek_pro_b001_P3_r1,L08,0.3418
deepseek_pro_b001_P3_r1,L09,0.9915
deepseek_pro_b001_P3_r1,M01,0.8613
deepseek_pro_b001_P3_r1,M02,0.2623
deepseek_pro_b001_P3_r1,M05,0.0305
deepseek_pro_b001_P3_r1,P01,0.1421
deepseek_pro_b001_P3_r1,R01,0.3621
deepseek_pro_b001_P3_r1,R02,0.2369
deepseek_pro_b001_P3_r1,R03,0.2673
deepseek_pro_b001_P3_r1,R04,0.1794
deepseek_pro_b001_P3_r1,R05,0.1015
deepseek_pro_b001_P3_r1,R06,0.0000
deepseek_pro_b001_P3_r1,R07,0.0000
deepseek_pro_b001_P3_r1,S01,0.0406
deepseek_pro_b001_P3_r1,S02,0.3621
deepseek_pro_b001_P3_r1,S03,0.1134
deepseek_pro_b001_P3_r1,S04,0.0305
deepseek_pro_b001_P3_r1,S05,0.1421
deepseek_pro_b001_P3_r1,S06,0.4382
deepseek_pro_b001_P3_r1,S07,0.8477
deepseek_pro_b001_P3_r1,S08,0.3672
deepseek_pro_b001_P3_r1,S09,0.6497
deepseek_pro_b001_P3_r1,S10,0.0000
deepseek_pro_b001_P3_r1,X01,0.6414
deepseek_pro_b001_P3_r1,X02,0.5132
deepseek_pro_b001_P3_r1,X05,0.8361
deepseek_pro_b001_P3_r2,C01,0.8629
deepseek_pro_b001_P3_r2,C02,0.2589
deepseek_pro_b001_P3_r2,C03,0.0000
deepseek_pro_b001_P3_r2,C05,0.8240
deepseek_pro_b001_P3_r2,C06,0.3401
deepseek_pro_b001_P3_r2,D04,0.4687
deepseek_pro_b001_P3_r2,D05,0.0000
deepseek_pro_b001_P3_r2,F01,0.5854
deepseek_pro_b001_P3_r2,F02,0.5161
deepseek_pro_b001_P3_r2,F03,0.6870
deepseek_pro_b001_P3_r2,F04,0.0000
deepseek_pro_b001_P3_r2,F05,0.0000
deepseek_pro_b001_P3_r2,F06,0.0000
deepseek_pro_b001_P3_r2,F07,0.0000
deepseek_pro_b001_P3_r2,F08,0.0500
deepseek_pro_b001_P3_r2,L01,0.2690
deepseek_pro_b001_P3_r2,L02,0.3926
deepseek_pro_b001_P3_r2,L03,0.2893
deepseek_pro_b001_P3_r2,L04,0.2724
deepseek_pro_b001_P3_r2,L05,0.6531
deepseek_pro_b001_P3_r2,L06,0.3892
deepseek_pro_b001_P3_r2,L07,0.5685
deepseek_pro_b001_P3_r2,L08,0.4873
deepseek_pro_b001_P3_r2,L09,0.9543
deepseek_pro_b001_P3_r2,M01,0.6971
deepseek_pro_b001_P3_r2,M02,0.0829
deepseek_pro_b001_P3_r2,M05,0.1675
deepseek_pro_b001_P3_r2,P01,0.1320
deepseek_pro_b001_P3_r2,R01,0.3604
deepseek_pro_b001_P3_r2,R02,0.0541
deepseek_pro_b001_P3_r2,R03,0.0846
deepseek_pro_b001_P3_r2,R04,0.7039
deepseek_pro_b001_P3_r2,R05,0.7411
deepseek_pro_b001_P3_r2,R06,0.0000
deepseek_pro_b001_P3_r2,R07,0.0000
deepseek_pro_b001_P3_r2,S01,0.4416
deepseek_pro_b001_P3_r2,S02,0.3604
deepseek_pro_b001_P3_r2,S03,0.8139
deepseek_pro_b001_P3_r2,S04,0.1895
deepseek_pro_b001_P3_r2,S05,0.7327
deepseek_pro_b001_P3_r2,S06,0.3316
deepseek_pro_b001_P3_r2,S07,0.9831
deepseek_pro_b001_P3_r2,S08,0.5076
deepseek_pro_b001_P3_r2,S09,0.6328
deepseek_pro_b001_P3_r2,S10,0.0000
deepseek_pro_b001_P3_r2,X01,0.0000
deepseek_pro_b001_P3_r2,X02,0.5132
deepseek_pro_b001_P3_r2,X05,0.5806
deepseek_pro_b002_P1_r1,C01,0.3012
deepseek_pro_b002_P1_r1,C02,0.6734
deepseek_pro_b002_P1_r1,C03,0.0000
deepseek_pro_b002_P1_r1,C05,0.6142
deepseek_pro_b002_P1_r1,C06,0.6159
deepseek_pro_b002_P1_r1,D04,0.3350
deepseek_pro_b002_P1_r1,D05,0.5584
deepseek_pro_b002_P1_r1,F01,0.7124
deepseek_pro_b002_P1_r1,F02,0.4890
deepseek_pro_b002_P1_r1,F03,0.6717
deepseek_pro_b002_P1_r1,F04,0.0000
deepseek_pro_b002_P1_r1,F05,0.0000
deepseek_pro_b002_P1_r1,F06,0.9442
deepseek_pro_b002_P1_r1,F07,0.9915
deepseek_pro_b002_P1_r1,F08,0.5417
deepseek_pro_b002_P1_r1,L01,0.7327
deepseek_pro_b002_P1_r1,L02,0.7699
deepseek_pro_b002_P1_r1,L03,0.7327
deepseek_pro_b002_P1_r1,L04,0.7276
deepseek_pro_b002_P1_r1,L05,0.3655
deepseek_pro_b002_P1_r1,L06,0.6447
deepseek_pro_b002_P1_r1,L07,0.5651
deepseek_pro_b002_P1_r1,L08,0.5787
deepseek_pro_b002_P1_r1,L09,0.8173
deepseek_pro_b002_P1_r1,M01,0.3604
deepseek_pro_b002_P1_r1,M02,0.1320
deepseek_pro_b002_P1_r1,M05,0.3706
deepseek_pro_b002_P1_r1,P01,0.6091
deepseek_pro_b002_P1_r1,R01,0.8951
deepseek_pro_b002_P1_r1,R02,0.1117
deepseek_pro_b002_P1_r1,R03,0.4653
deepseek_pro_b002_P1_r1,R04,0.6379
deepseek_pro_b002_P1_r1,R05,0.4484
deepseek_pro_b002_P1_r1,R06,0.6024
deepseek_pro_b002_P1_r1,R07,0.5499
deepseek_pro_b002_P1_r1,S01,0.4061
deepseek_pro_b002_P1_r1,S02,0.8951
deepseek_pro_b002_P1_r1,S03,0.6565
deepseek_pro_b002_P1_r1,S04,0.5719
deepseek_pro_b002_P1_r1,S05,0.4975
deepseek_pro_b002_P1_r1,S06,0.5228
deepseek_pro_b002_P1_r1,S07,0.5770
deepseek_pro_b002_P1_r1,S08,0.4129
deepseek_pro_b002_P1_r1,S09,0.6345
deepseek_pro_b002_P1_r1,S10,0.0000
deepseek_pro_b002_P1_r1,X01,0.0000
deepseek_pro_b002_P1_r1,X02,0.0000
deepseek_pro_b002_P1_r1,X05,0.0694
deepseek_pro_b002_P1_r2,C01,0.0998
deepseek_pro_b002_P1_r2,C02,0.4230
deepseek_pro_b002_P1_r2,C03,0.0000
deepseek_pro_b002_P1_r2,C05,0.7208
deepseek_pro_b002_P1_r2,C06,0.1591
deepseek_pro_b002_P1_r2,D04,0.3063
deepseek_pro_b002_P1_r2,D05,0.0000
deepseek_pro_b002_P1_r2,F01,0.6227
deepseek_pro_b002_P1_r2,F02,0.3570
deepseek_pro_b002_P1_r2,F03,0.3858
deepseek_pro_b002_P1_r2,F04,0.0000
deepseek_pro_b002_P1_r2,F05,0.0000
deepseek_pro_b002_P1_r2,F06,0.0000
deepseek_pro_b002_P1_r2,F07,0.0000
deepseek_pro_b002_P1_r2,F08,0.3583
deepseek_pro_b002_P1_r2,L01,0.7293
deepseek_pro_b002_P1_r2,L02,0.8748
deepseek_pro_b002_P1_r2,L03,0.6701
deepseek_pro_b002_P1_r2,L04,0.4941
deepseek_pro_b002_P1_r2,L05,0.3672
deepseek_pro_b002_P1_r2,L06,0.5330
deepseek_pro_b002_P1_r2,L07,0.5770
deepseek_pro_b002_P1_r2,L08,0.6379
deepseek_pro_b002_P1_r2,L09,0.4044
deepseek_pro_b002_P1_r2,M01,0.4129
deepseek_pro_b002_P1_r2,M02,0.2606
deepseek_pro_b002_P1_r2,M05,0.1303
deepseek_pro_b002_P1_r2,P01,0.3790
deepseek_pro_b002_P1_r2,R01,0.3942
deepseek_pro_b002_P1_r2,R02,0.1810
deepseek_pro_b002_P1_r2,R03,0.4602
deepseek_pro_b002_P1_r2,R04,0.8562
deepseek_pro_b002_P1_r2,R05,0.6819
deepseek_pro_b002_P1_r2,R06,0.9052
deepseek_pro_b002_P1_r2,R07,0.4992
deepseek_pro_b002_P1_r2,S01,0.6159
deepseek_pro_b002_P1_r2,S02,0.3942
deepseek_pro_b002_P1_r2,S03,0.6565
deepseek_pro_b002_P1_r2,S04,0.3570
deepseek_pro_b002_P1_r2,S05,0.8071
deepseek_pro_b002_P1_r2,S06,0.0914
deepseek_pro_b002_P1_r2,S07,0.7868
deepseek_pro_b002_P1_r2,S08,0.8596
deepseek_pro_b002_P1_r2,S09,0.7174
deepseek_pro_b002_P1_r2,S10,0.0000
deepseek_pro_b002_P1_r2,X01,0.0000
deepseek_pro_b002_P1_r2,X02,0.3868
deepseek_pro_b002_P1_r2,X05,0.2417
deepseek_pro_b002_P2_r1,C01,0.1574
deepseek_pro_b002_P2_r1,C02,0.3706
deepseek_pro_b002_P2_r1,C03,0.0000
deepseek_pro_b002_P2_r1,C05,0.0000
deepseek_pro_b002_P2_r1,C06,0.0000
deepseek_pro_b002_P2_r1,D04,0.7073
deepseek_pro_b002_P2_r1,D05,0.0000
deepseek_pro_b002_P2_r1,F01,0.6954
deepseek_pro_b002_P2_r1,F02,0.4095
deepseek_pro_b002_P2_r1,F03,0.3790
deepseek_pro_b002_P2_r1,F04,0.0000
deepseek_pro_b002_P2_r1,F05,0.0000
deepseek_pro_b002_P2_r1,F06,0.0000
deepseek_pro_b002_P2_r1,F07,0.0000
deepseek_pro_b002_P2_r1,F08,0.6222
deepseek_pro_b002_P2_r1,L01,0.7665
deepseek_pro_b002_P2_r1,L02,0.8816
deepseek_pro_b002_P2_r1,L03,0.5533
deepseek_pro_b002_P2_r1,L04,0.3232
