n,n_machine,n_human,tpr_at_1pct_fpr,tpr_at_5pct_fpr,mcc,balanced_accuracy,auroc,fpr,fpr_ci_low,fpr_ci_high,fpr_hard_human,fpr_HH-formal-register,fpr_HH-polished,fpr_HH-translation,split,model,estimand,C,inner_auc,n_features,status,inner_folds_total,inner_folds_used,inner_folds_skipped,c_rebuilt,c_changed_by_rebuild,n_permutations,auroc_sd,auroc_min,auroc_max
662,270,392,0.0,0.0,0.0,0.5,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,holdout_model_Anthropic,source-only,full,1.0,0.5024,24,зарегистрирован до прогона,3,3,,10.0,1,,,,
662,270,392,1.0,1.0,0.9814721029701287,0.9923469387755102,1.0,0.015306122448979591,0.0035211267605633804,0.035897435897435895,0.015306122448979591,0.029940119760479042,0.0,0.0136986301369863,holdout_model_Anthropic,format-only,full,1.0,0.9783,4,зарегистрирован до прогона,3,3,,1.0,0,,,,
662,270,392,0.9925925925925926,1.0,0.9604289353273082,0.9834183673469388,0.9998960695389267,0.03316326530612245,0.011204481792717087,0.07174887892376682,0.03316326530612245,0.05389221556886228,0.013157894736842105,0.0273972602739726,holdout_model_Anthropic,main+M02,full,0.1,0.9963,23,зарегистрирован до прогона,3,3,,10.0,1,,,,
,,,,,,,0.28629015495086924,,,,,,,,holdout_model_Anthropic,negative-control,full,,,,post hoc: серия кластерных перестановок вместо одной,,,,,,20,0.3348234737820848,0.0005479969765684015,0.97041761148904
662,270,392,0.9222222222222223,0.9740740740740741,0.9283902122423825,0.9654761904761905,0.9957671957671959,0.03571428571428571,0.01078582434514638,0.0830188679245283,0.03571428571428571,0.059880239520958084,0.013157894736842105,0.0273972602739726,holdout_model_DeepSeek,main,full,0.01,0.9956,22,зарегистрирован до прогона,3,3,,0.01,0,,,,
662,270,392,0.7962962962962963,0.937037037037037,0.8807855102504724,0.9460978835978836,0.991326530612245,0.08928571428571429,0.059734513274336286,0.14427860696517414,0.08928571428571429,0.1317365269461078,0.05263157894736842,0.0684931506849315,holdout_model_DeepSeek,main,net,0.1,0.9461,18,зарегистрирован до прогона,3,3,,0.01,1,,,,
662,270,392,0.018518518518518517,0.03333333333333333,0.031600802940904935,0.5156462585034014,0.4836262282690854,0.6020408163265306,0.34448160535117056,0.845724907063197,0.6020408163265306,0.17365269461077845,0.9407894736842105,0.8767123287671232,holdout_model_DeepSeek,length-only,full,0.01,0.6286,4,зарегистрирован до прогона,3,3,,0.01,0,,,,
662,270,392,0.6666666666666666,0.6666666666666666,-0.47795211939924326,0.3333333333333333,0.6666666666666666,1.0,1.0,1.0,1.0,1.0,1.0,1.0,holdout_model_DeepSeek,genre-only,full,0.01,0.9062,4,зарегистрирован до прогона,3,3,,0.01,0,,,,
662,270,392,0.0,0.0,0.0,0.5,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,holdout_model_DeepSeek,source-only,full,0.1,0.5019,24,зарегистрирован до прогона,3,3,,0.1,0,,,,
662,270,392,0.7925925925925926,0.8111111111111111,0.8126781663297197,0.8916477702191987,0.9154289493575208,0.02040816326530612,0.00625,0.043478260869565216,0.02040816326530612,0.041916167664670656,0.0,0.0136986301369863,holdout_model_DeepSeek,format-only,full,10.0,0.9883,4,зарегистрирован до прогона,3,3,,10.0,0,,,,
