document_id,origin_class,source,genre,in_current_registry,n_sentences,repeat_share,repeated_unique,max_multiplicity,longest_repeated_block,repeat_char_share,adjacent_share,glued_per_1000w,verdict
deepseek_pro_b012_P2_r2,A,deepseek_pro,seo,1,41,0.0,0,1,0,0.0,0.0,0.0,
deepseek_pro_b012_P3_r1,A,deepseek_pro,seo,1,59,0.0,0,1,0,0.0,0.0,0.909918,
deepseek_pro_b012_P3_r2,A,deepseek_pro,seo,1,92,0.0,0,1,0,0.0,0.0,0.0,
deepseek_pro_b013_P1_r1,A,deepseek_pro,seo,1,106,0.0,0,1,0,0.0,0.0,0.0,
deepseek_pro_b013_P1_r2,A,deepseek_pro,seo,1,89,0.0,0,1,0,0.0,0.0,0.0,
deepseek_pro_b013_P2_r1,A,deepseek_pro,seo,1,48,0.0,0,1,0,0.0,0.0,0.0,
deepseek_pro_b013_P2_r2,A,deepseek_pro,seo,1,42,0.0,0,1,0,0.0,0.0,0.0,
deepseek_pro_b013_P3_r1,A,deepseek_pro,seo,1,78,0.0,0,1,0,0.0,0.0,0.0,
deepseek_pro_b013_P3_r2,A,deepseek_pro,seo,1,91,0.0,0,1,0,0.0,0.0,0.0,
deepseek_pro_b014_P1_r1,A,deepseek_pro,seo,1,113,0.0,0,1,0,0.0,0.0,0.0,
deepseek_pro_b014_P1_r2,A,deepseek_pro,seo,1,65,0.0,0,1,0,0.0,0.0,0.0,
deepseek_pro_b014_P2_r1,A,deepseek_pro,seo,1,54,0.0,0,1,0,0.0,0.0,0.0,
deepseek_pro_b014_P2_r2,A,deepseek_pro,seo,1,40,0.0,0,1,0,0.0,0.0,0.0,
deepseek_pro_b014_P3_r1,A,deepseek_pro,seo,1,79,0.0,0,1,0,0.0,0.0,0.78125,
deepseek_pro_b014_P3_r2,A,deepseek_pro,seo,1,62,0.0,0,1,0,0.0,0.0,0.0,
deepseek_pro_b015_P1_r1,A,deepseek_pro,seo,1,113,0.0,0,1,0,0.0,0.0,0.0,
deepseek_pro_b015_P1_r2,A,deepseek_pro,seo,1,61,0.0,0,1,0,0.0,0.0,3.083248,
deepseek_pro_b015_P2_r1,A,deepseek_pro,seo,1,33,0.0,0,1,0,0.0,0.0,0.0,
deepseek_pro_b015_P2_r2,A,deepseek_pro,seo,1,30,0.0,0,1,0,0.0,0.0,0.0,
deepseek_pro_b015_P3_r1,A,deepseek_pro,seo,1,110,0.0,0,1,0,0.0,0.0,0.548546,
deepseek_pro_b015_P3_r2,A,deepseek_pro,seo,1,87,0.0,0,1,0,0.0,0.0,0.0,
deepseek_pro_b016_P1_r1,A,deepseek_pro,analytics,1,87,0.0,0,1,0,0.0,0.0,0.0,
deepseek_pro_b016_P1_r2,A,deepseek_pro,analytics,1,114,0.0,0,1,0,0.0,0.0,0.0,
deepseek_pro_b016_P2_r1,A,deepseek_pro,analytics,1,87,0.0,0,1,0,0.0,0.0,0.0,
deepseek_pro_b016_P2_r2,A,deepseek_pro,analytics,1,43,0.0,0,1,0,0.0,0.0,0.0,
deepseek_pro_b016_P3_r1,A,deepseek_pro,analytics,1,90,0.0,0,1,0,0.0,0.0,0.0,
deepseek_pro_b016_P3_r2,A,deepseek_pro,analytics,1,101,0.0,0,1,0,0.0,0.0,0.0,
deepseek_pro_b017_P1_r1,A,deepseek_pro,analytics,1,104,0.0,0,1,0,0.0,0.0,1.137656,
deepseek_pro_b017_P1_r2,A,deepseek_pro,analytics,1,105,0.0,0,1,0,0.0,0.0,0.0,
deepseek_pro_b017_P2_r1,A,deepseek_pro,analytics,1,74,0.0,0,1,0,0.0,0.0,0.0,
deepseek_pro_b017_P2_r2,A,deepseek_pro,analytics,1,16,0.0,0,1,0,0.0,0.0,0.0,
deepseek_pro_b017_P3_r1,A,deepseek_pro,analytics,1,97,0.0,0,1,0,0.0,0.0,0.0,
deepseek_pro_b017_P3_r2,A,deepseek_pro,analytics,1,91,0.0,0,1,0,0.0,0.0,0.0,
deepseek_pro_b018_P1_r1,A,deepseek_pro,analytics,1,86,0.0,0,1,0,0.0,0.0,0.0,
deepseek_pro_b018_P1_r2,A,deepseek_pro,analytics,1,118,0.0,0,1,0,0.0,0.0,0.0,
deepseek_pro_b018_P2_r1,A,deepseek_pro,analytics,1,42,0.0,0,1,0,0.0,0.0,0.0,
deepseek_pro_b018_P2_r2,A,deepseek_pro,analytics,1,59,0.0,0,1,0,0.0,0.0,0.0,
deepseek_pro_b018_P3_r1,A,deepseek_pro,analytics,1,97,0.0,0,1,0,0.0,0.0,0.0,
deepseek_pro_b018_P3_r2,A,deepseek_pro,analytics,1,92,0.0,0,1,0,0.0,0.0,0.0,
deepseek_pro_b019_P1_r1,A,deepseek_pro,analytics,1,90,0.0,0,1,0,0.0,0.0,0.76864,
deepseek_pro_b019_P1_r2,A,deepseek_pro,analytics,1,95,0.0,0,1,0,0.0,0.0,0.0,
deepseek_pro_b019_P2_r1,A,deepseek_pro,analytics,1,51,0.0,0,1,0,0.0,0.0,0.0,
deepseek_pro_b019_P2_r2,A,deepseek_pro,analytics,1,43,0.0,0,1,0,0.0,0.0,0.0,
deepseek_pro_b019_P3_r1,A,deepseek_pro,analytics,1,95,0.0,0,1,0,0.0,0.0,0.0,
deepseek_pro_b019_P3_r2,A,deepseek_pro,analytics,1,108,0.0,0,1,0,0.0,0.0,0.0,
deepseek_pro_b020_P1_r1,A,deepseek_pro,analytics,1,87,0.0,0,1,0,0.0,0.0,0.775795,
deepseek_pro_b020_P1_r2,A,deepseek_pro,analytics,1,74,0.0,0,1,0,0.0,0.0,0.0,
deepseek_pro_b020_P2_r1,A,deepseek_pro,analytics,1,42,0.0,0,1,0,0.0,0.0,0.0,
deepseek_pro_b020_P2_r2,A,deepseek_pro,analytics,1,53,0.0,0,1,0,0.0,0.0,0.0,
deepseek_pro_b020_P3_r1,A,deepseek_pro,analytics,1,90,0.0,0,1,0,0.0,0.0,0.0,
deepseek_pro_b020_P3_r2,A,deepseek_pro,analytics,1,99,0.0,0,1,0,0.0,0.0,0.0,
deepseek_pro_b021_P1_r1,A,deepseek_pro,analytics,1,72,0.0,0,1,0,0.0,0.0,1.573564,
deepseek_pro_b021_P1_r2,A,deepseek_pro,analytics,1,82,0.0,0,1,0,0.0,0.0,0.0,
deepseek_pro_b021_P2_r1,A,deepseek_pro,analytics,1,37,0.0,0,1,0,0.0,0.0,0.0,
deepseek_pro_b021_P2_r2,A,deepseek_pro,analytics,1,29,0.0,0,1,0,0.0,0.0,0.0,
deepseek_pro_b021_P3_r1,A,deepseek_pro,analytics,1,82,0.0,0,1,0,0.0,0.0,0.0,
deepseek_pro_b021_P3_r2,A,deepseek_pro,analytics,1,68,0.0,0,1,0,0.0,0.0,0.0,
deepseek_pro_b022_P1_r1,A,deepseek_pro,analytics,1,94,0.0,0,1,0,0.0,0.0,0.0,
deepseek_pro_b022_P1_r2,A,deepseek_pro,analytics,1,47,0.0,0,1,0,0.0,0.0,0.0,
deepseek_pro_b022_P2_r1,A,deepseek_pro,analytics,1,62,0.0,0,1,0,0.0,0.0,0.0,
deepseek_pro_b022_P2_r2,A,deepseek_pro,analytics,1,32,0.0,0,1,0,0.0,0.0,0.0,
deepseek_pro_b022_P3_r1,A,deepseek_pro,analytics,1,81,0.0,0,1,0,0.0,0.0,0.0,
deepseek_pro_b022_P3_r2,A,deepseek_pro,analytics,1,82,0.0,0,1,0,0.0,0.0,0.0,
deepseek_pro_b023_P1_r1,A,deepseek_pro,analytics,1,100,0.0,0,1,0,0.0,0.0,0.0,
deepseek_pro_b023_P1_r2,A,deepseek_pro,analytics,1,93,0.0,0,1,0,0.0,0.0,0.0,
deepseek_pro_b023_P2_r1,A,deepseek_pro,analytics,1,46,0.0,0,1,0,0.0,0.0,0.0,
deepseek_pro_b023_P2_r2,A,deepseek_pro,analytics,1,81,0.0,0,1,0,0.0,0.0,1.651528,
deepseek_pro_b023_P3_r1,A,deepseek_pro,analytics,1,83,0.0,0,1,0,0.0,0.0,0.0,
deepseek_pro_b023_P3_r2,A,deepseek_pro,analytics,1,99,0.0,0,1,0,0.0,0.0,0.0,
deepseek_pro_b024_P1_r1,A,deepseek_pro,analytics,1,65,0.0,0,1,0,0.0,0.0,0.0,
deepseek_pro_b024_P1_r2,A,deepseek_pro,analytics,1,63,0.0,0,1,0,0.0,0.0,0.0,
deepseek_pro_b024_P2_r1,A,deepseek_pro,analytics,1,36,0.0,0,1,0,0.0,0.0,0.0,
deepseek_pro_b024_P2_r2,A,deepseek_pro,analytics,1,43,0.0,0,1,0,0.0,0.0,0.0,
deepseek_pro_b024_P3_r1,A,deepseek_pro,analytics,1,91,0.0,0,1,0,0.0,0.0,0.696379,
deepseek_pro_b024_P3_r2,A,deepseek_pro,analytics,1,87,0.0,0,1,0,0.0,0.0,0.0,
deepseek_pro_b025_P1_r1,A,deepseek_pro,analytics,1,112,0.0,0,1,0,0.0,0.0,1.229256,
deepseek_pro_b025_P1_r2,A,deepseek_pro,analytics,1,105,0.0,0,1,0,0.0,0.0,0.0,
deepseek_pro_b025_P2_r1,A,deepseek_pro,analytics,1,57,0.0,0,1,0,0.0,0.0,0.0,
deepseek_pro_b025_P2_r2,A,deepseek_pro,analytics,1,39,0.0,0,1,0,0.0,0.0,0.0,
deepseek_pro_b025_P3_r1,A,deepseek_pro,analytics,1,133,0.0,0,1,0,0.0,0.0,0.0,
deepseek_pro_b025_P3_r2,A,deepseek_pro,analytics,1,123,0.0,0,1,0,0.0,0.0,0.0,
deepseek_pro_b026_P1_r1,A,deepseek_pro,analytics,1,127,0.0,0,1,0,0.0,0.0,0.0,
deepseek_pro_b026_P1_r2,A,deepseek_pro,analytics,1,33,0.0,0,1,0,0.0,0.0,0.0,
deepseek_pro_b026_P2_r1,A,deepseek_pro,analytics,1,32,0.0,0,1,0,0.0,0.0,0.0,
deepseek_pro_b026_P2_r2,A,deepseek_pro,analytics,1,43,0.0,0,1,0,0.0,0.0,0.0,
deepseek_pro_b026_P3_r1,A,deepseek_pro,analytics,1,132,0.0,0,1,0,0.0,0.0,0.0,
deepseek_pro_b026_P3_r2,A,deepseek_pro,analytics,1,109,0.0,0,1,0,0.0,0.0,0.0,
deepseek_pro_b027_P1_r1,A,deepseek_pro,analytics,1,119,0.0,0,1,0,0.0,0.0,0.0,
deepseek_pro_b027_P1_r2,A,deepseek_pro,analytics,1,66,0.0,0,1,0,0.0,0.0,0.925069,
deepseek_pro_b027_P2_r1,A,deepseek_pro,analytics,1,35,0.0,0,1,0,0.0,0.0,0.0,
deepseek_pro_b027_P2_r2,A,deepseek_pro,analytics,1,79,0.0,0,1,0,0.0,0.0,0.0,
deepseek_pro_b027_P3_r1,A,deepseek_pro,analytics,1,78,0.0,0,1,0,0.0,0.0,0.0,
deepseek_pro_b027_P3_r2,A,deepseek_pro,analytics,1,102,0.0,0,1,0,0.0,0.0,0.647249,
deepseek_pro_b028_P1_r1,A,deepseek_pro,analytics,1,31,0.0,0,1,0,0.0,0.0,0.0,
deepseek_pro_b028_P1_r2,A,deepseek_pro,analytics,1,70,0.0,0,1,0,0.0,0.0,0.0,
deepseek_pro_b028_P2_r1,A,deepseek_pro,analytics,1,38,0.0,0,1,0,0.0,0.0,0.0,
deepseek_pro_b028_P2_r2,A,deepseek_pro,analytics,1,89,0.0,0,1,0,0.0,0.0,0.0,
deepseek_pro_b028_P3_r1,A,deepseek_pro,analytics,1,70,0.0,0,1,0,0.0,0.0,0.0,
deepseek_pro_b028_P3_r2,A,deepseek_pro,analytics,1,96,0.0,0,1,0,0.0,0.0,0.0,
deepseek_pro_b029_P1_r1,A,deepseek_pro,analytics,1,106,0.0,0,1,0,0.0,0.0,0.573723,
deepseek_pro_b029_P1_r2,A,deepseek_pro,analytics,1,119,0.0,0,1,0,0.0,0.0,0.0,
deepseek_pro_b029_P2_r1,A,deepseek_pro,analytics,1,57,0.0,0,1,0,0.0,0.0,0.0,
deepseek_pro_b029_P2_r2,A,deepseek_pro,analytics,1,56,0.0,0,1,0,0.0,0.0,0.0,
deepseek_pro_b029_P3_r1,A,deepseek_pro,analytics,1,129,0.0,0,1,0,0.0,0.0,0.0,
deepseek_pro_b029_P3_r2,A,deepseek_pro,analytics,1,98,0.0,0,1,0,0.0,0.0,0.68306,
deepseek_pro_b030_P1_r1,A,deepseek_pro,analytics,1,103,0.0,0,1,0,0.0,0.0,0.0,
deepseek_pro_b030_P1_r2,A,deepseek_pro,analytics,1,101,0.0,0,1,0,0.0,0.0,0.0,
deepseek_pro_b030_P2_r1,A,deepseek_pro,analytics,1,49,0.0,0,1,0,0.0,0.0,0.0,
deepseek_pro_b030_P2_r2,A,deepseek_pro,analytics,1,112,0.0,0,1,0,0.0,0.0,0.0,
deepseek_pro_b030_P3_r1,A,deepseek_pro,analytics,1,102,0.0,0,1,0,0.0,0.0,0.0,
deepseek_pro_b030_P3_r2,A,deepseek_pro,analytics,1,112,0.0,0,1,0,0.0,0.0,0.0,
deepseek_pro_b031_P1_r1,A,deepseek_pro,commercial,1,50,0.0,0,1,0,0.0,0.0,1.40056,
deepseek_pro_b031_P1_r2,A,deepseek_pro,commercial,1,98,0.0,0,1,0,0.0,0.0,0.0,
deepseek_pro_b031_P2_r1,A,deepseek_pro,commercial,1,51,0.0,0,1,0,0.0,0.0,0.0,
deepseek_pro_b031_P2_r2,A,deepseek_pro,commercial,1,41,0.0,0,1,0,0.0,0.0,0.0,
deepseek_pro_b031_P3_r1,A,deepseek_pro,commercial,1,82,0.0,0,1,0,0.0,0.0,0.753012,
deepseek_pro_b031_P3_r2,A,deepseek_pro,commercial,1,102,0.0,0,1,0,0.0,0.0,0.0,
deepseek_pro_b032_P1_r1,A,deepseek_pro,commercial,1,124,0.0,0,1,0,0.0,0.0,0.0,
deepseek_pro_b032_P1_r2,A,deepseek_pro,commercial,1,109,0.0,0,1,0,0.0,0.0,0.0,
deepseek_pro_b032_P2_r1,A,deepseek_pro,commercial,1,74,0.0,0,1,0,0.0,0.0,0.0,
deepseek_pro_b032_P2_r2,A,deepseek_pro,commercial,1,49,0.0,0,1,0,0.0,0.0,0.0,
deepseek_pro_b032_P3_r1,A,deepseek_pro,commercial,1,105,0.0,0,1,0,0.0,0.0,0.0,
deepseek_pro_b032_P3_r2,A,deepseek_pro,commercial,1,98,0.0,0,1,0,0.0,0.0,0.0,
deepseek_pro_b033_P1_r1,A,deepseek_pro,commercial,1,45,0.0,0,1,0,0.0,0.0,0.0,
deepseek_pro_b033_P1_r2,A,deepseek_pro,commercial,1,113,0.0,0,1,0,0.0,0.0,0.0,
deepseek_pro_b033_P2_r1,A,deepseek_pro,commercial,1,31,0.0,0,1,0,0.0,0.0,0.0,
deepseek_pro_b033_P2_r2,A,deepseek_pro,commercial,1,39,0.0,0,1,0,0.0,0.0,0.0,
deepseek_pro_b033_P3_r1,A,deepseek_pro,commercial,1,85,0.0,0,1,0,0.0,0.0,0.0,
deepseek_pro_b033_P3_r2,A,deepseek_pro,commercial,1,92,0.0,0,1,0,0.0,0.0,0.0,
deepseek_pro_b034_P1_r1,A,deepseek_pro,commercial,1,103,0.0,0,1,0,0.0,0.0,0.0,
deepseek_pro_b034_P1_r2,A,deepseek_pro,commercial,1,89,0.0,0,1,0,0.0,0.0,0.0,
deepseek_pro_b034_P2_r1,A,deepseek_pro,commercial,1,69,0.0,0,1,0,0.0,0.0,0.0,
deepseek_pro_b034_P2_r2,A,deepseek_pro,commercial,1,55,0.0,0,1,0,0.0,0.0,0.0,
deepseek_pro_b034_P3_r1,A,deepseek_pro,commercial,1,97,0.0,0,1,0,0.0,0.0,0.0,
deepseek_pro_b034_P3_r2,A,deepseek_pro,commercial,1,101,0.0,0,1,0,0.0,0.0,1.539646,
deepseek_pro_b035_P1_r1,A,deepseek_pro,commercial,1,42,0.0,0,1,0,0.0,0.0,3.514938,
deepseek_pro_b035_P1_r2,A,deepseek_pro,commercial,1,47,0.0,0,1,0,0.0,0.0,1.27551,
deepseek_pro_b035_P2_r1,A,deepseek_pro,commercial,1,91,0.0,0,1,0,0.0,0.0,0.0,
deepseek_pro_b035_P2_r2,A,deepseek_pro,commercial,1,49,0.0,0,1,0,0.0,0.0,0.0,
deepseek_pro_b035_P3_r1,A,deepseek_pro,commercial,1,88,0.0,0,1,0,0.0,0.0,0.0,
deepseek_pro_b035_P3_r2,A,deepseek_pro,commercial,1,98,0.0,0,1,0,0.0,0.0,0.0,
deepseek_pro_b036_P1_r1,A,deepseek_pro,commercial,1,124,0.0,0,1,0,0.0,0.0,0.0,
deepseek_pro_b036_P1_r2,A,deepseek_pro,commercial,1,68,0.0,0,1,0,0.0,0.0,0.0,
deepseek_pro_b036_P2_r1,A,deepseek_pro,commercial,1,78,0.0,0,1,0,0.0,0.0,0.0,
deepseek_pro_b036_P2_r2,A,deepseek_pro,commercial,1,41,0.0,0,1,0,0.0,0.0,0.0,
deepseek_pro_b036_P3_r1,A,deepseek_pro,commercial,1,98,0.0,0,1,0,0.0,0.0,0.0,
deepseek_pro_b036_P3_r2,A,deepseek_pro,commercial,1,77,0.0,0,1,0,0.0,0.0,0.0,
deepseek_pro_b037_P1_r1,A,deepseek_pro,commercial,1,121,0.0,0,1,0,0.0,0.0,0.0,
deepseek_pro_b037_P1_r2,A,deepseek_pro,commercial,1,49,0.0,0,1,0,0.0,0.0,0.0,
