document_id,transform_number,origin_class,generation_channel,nll_baseline,nll_transformed,delta_nll,scored_tokens,n_windows,status
gpt_b040_P2_r1,11,A,gpt,3.096807,2.801108,-0.295699,1260,2,ok
human_hard_rusltc_0001,11,H,,3.121580,2.541646,-0.579934,1360,2,ok
human_hard_rusltc_0002,11,H,,2.809068,2.353756,-0.455312,1663,3,ok
human_hard_rusltc_0003,11,H,,3.290485,2.700504,-0.589981,2960,5,ok
human_hard_rusltc_0055,11,H,,2.648841,2.238768,-0.410073,1367,2,ok
human_hard_rusltc_0068,11,H,,2.655230,2.177722,-0.477508,1766,3,ok
human_hard_rusltc_0073,11,H,,3.063622,2.570964,-0.492658,2743,5,ok
human_news_buriy_2014_0027,11,H,,2.947762,2.512102,-0.435660,1405,2,ok
human_news_buriy_2014_0034,11,H,,2.498666,2.110292,-0.388374,2269,4,ok
human_news_gazeta_0031,11,H,,2.431371,2.107902,-0.323469,1612,3,ok
human_news_gazeta_0040,11,H,,2.576308,2.241546,-0.334762,1449,2,ok
human_news_lenta_0001,11,H,,2.672448,2.188599,-0.483849,1330,2,ok
human_news_lenta_0016,11,H,,2.354553,1.981015,-0.373538,2059,4,ok
human_prose_taiga_arzamas_0050,11,H,,2.864683,2.319763,-0.544920,3009,5,ok
human_prose_taiga_arzamas_0051,11,H,,2.834851,2.397327,-0.437524,2952,5,ok
human_prose_taiga_magazines_0048,11,H,,3.268327,2.881478,-0.386849,7417,14,ok
human_prose_taiga_magazines_0053,11,H,,3.980711,3.746793,-0.233918,1455,2,ok
human_prose_taiga_proza_0034,11,H,,2.506692,2.278760,-0.227932,1334,2,ok
human_prose_taiga_proza_0056,11,H,,3.359663,2.822430,-0.537233,2475,4,ok
human_science_cyberleninka_0026,11,H,,2.455090,2.223501,-0.231589,3883,7,ok
human_science_cyberleninka_0031,11,H,,2.320432,2.102533,-0.217899,2632,5,ok
human_science_cyberleninka_0032,11,H,,2.172165,1.801549,-0.370616,2698,5,ok
human_science_cyberleninka_0053,11,H,,2.257457,2.125490,-0.131967,7032,13,ok
human_science_spbgu_0024,11,H,,2.412085,2.380427,-0.031658,6414,12,ok
human_science_urfu_0028,11,H,,2.470474,2.088811,-0.381663,9721,18,ok
human_seo_alaev_0004,11,H,,3.119545,2.687740,-0.431805,3989,7,ok
human_seo_convertmonster_0001,11,H,,2.423620,2.162392,-0.261228,1107,2,ok
human_seo_devaka_ru_0004,11,H,,3.158421,2.573100,-0.585321,2060,4,ok
human_seo_drmax_0002,11,H,,3.434824,2.870807,-0.564017,4131,8,ok
human_seo_drmax_su_0001,11,H,,3.052851,2.578836,-0.474015,2678,5,ok
human_seo_labrika_0002,11,H,,2.414394,2.089587,-0.324807,3143,6,ok
nemotron_b012_P1_r1,11,A,nemotron,3.423155,2.869651,-0.553504,3842,7,ok
nemotron_b015_P3_r2,11,A,nemotron,3.022644,2.520799,-0.501845,4535,8,ok
nemotron_b016_P1_r1,11,A,nemotron,3.486115,2.905085,-0.581030,2967,5,ok
nemotron_b022_P3_r2,11,A,nemotron,3.302259,2.905179,-0.397080,3660,7,ok
nemotron_b028_P1_r2,11,A,nemotron,3.295929,2.808145,-0.487784,5419,10,ok
nemotron_b033_P2_r2,11,A,nemotron,3.343024,2.988909,-0.354115,800,1,ok
nemotron_b038_P1_r2,11,A,nemotron,3.300879,2.962670,-0.338209,4202,8,ok
real_claude_b015_P2_r1,11,A,real_claude,3.276098,2.771501,-0.504597,2384,4,ok
real_claude_b018_P3_r2,11,A,real_claude,3.522522,3.024832,-0.497690,2700,5,ok
real_claude_b024_P1_r2,11,A,real_claude,3.401401,2.980528,-0.420873,1562,3,ok
real_claude_b025_P2_r1,11,A,real_claude,3.284271,2.996608,-0.287663,1579,3,ok
real_claude_b034_P2_r2,11,A,real_claude,3.274455,2.781052,-0.493403,2029,3,ok
real_claude_b040_P3_r2,11,A,real_claude,3.478730,2.987962,-0.490768,2506,4,ok
real_claude_b042_P3_r2,11,A,real_claude,3.311909,2.834344,-0.477565,2498,4,ok
real_claude_b045_P3_r1,11,A,real_claude,3.477903,2.966294,-0.511609,3186,6,ok
deepseek_pro_b002_P3_r1,13,A,deepseek_pro,2.932154,3.023950,0.091796,2202,4,ok
deepseek_pro_b004_P2_r1,13,A,deepseek_pro,2.962420,3.087676,0.125256,1480,2,ok
deepseek_pro_b007_P3_r2,13,A,deepseek_pro,3.047212,3.178918,0.131706,2748,5,ok
deepseek_pro_b009_P1_r1,13,A,deepseek_pro,2.999451,3.114068,0.114617,2970,5,ok
deepseek_pro_b009_P2_r2,13,A,deepseek_pro,2.931191,3.049868,0.118677,1083,2,ok
deepseek_pro_b021_P2_r2,13,A,deepseek_pro,2.957460,3.119847,0.162387,658,1,ok
deepseek_pro_b037_P2_r2,13,A,deepseek_pro,3.110237,3.249049,0.138812,1239,2,ok
deepseek_pro_b038_P1_r2,13,A,deepseek_pro,3.184690,3.330903,0.146213,2807,5,ok
gpt_b004_P1_r1,13,A,gpt,3.141123,3.207785,0.066662,1961,3,ok
gpt_b004_P3_r1,13,A,gpt,3.241070,3.351968,0.110898,1953,3,ok
gpt_b021_P3_r2,13,A,gpt,3.423261,3.549357,0.126096,1985,3,ok
gpt_b026_P1_r1,13,A,gpt,2.959196,3.124160,0.164964,2268,4,ok
gpt_b028_P2_r1,13,A,gpt,3.233938,3.386612,0.152674,1366,2,ok
gpt_b031_P1_r1,13,A,gpt,2.903248,3.012765,0.109517,2245,4,ok
gpt_b040_P2_r1,13,A,gpt,3.096807,3.214464,0.117657,1680,3,ok
