n,n_machine,n_human,tpr_at_1pct_fpr,tpr_at_5pct_fpr,mcc,balanced_accuracy,auroc,fpr,fpr_ci_low,fpr_ci_high,fpr_hard_human,fpr_HH-formal-register,fpr_HH-polished,fpr_HH-translation,split,model,estimand,C,inner_auc,n_features,status,n_permutations,auroc_sd,auroc_min,auroc_max
690,270,420,0.8111111111111111,0.9481481481481482,0.8835940539077729,0.9498677248677249,0.9921957671957673,0.09285714285714286,0.058823529411764705,0.1595744680851064,0.09285714285714286,0.11976047904191617,0.06111111111111111,0.1095890410958904,holdout_model_DeepSeek,main,net,0.01,0.9438,18,зарегистрирован до прогона,,,,
690,270,420,0.03333333333333333,0.040740740740740744,-0.014069322833905993,0.492989417989418,0.47147266313932984,0.6214285714285714,0.34545454545454546,0.8558139534883721,0.6214285714285714,0.16167664670658682,0.95,0.863013698630137,holdout_model_DeepSeek,length-only,full,0.01,0.6179,4,зарегистрирован до прогона,,,,
690,270,420,0.6666666666666666,0.6666666666666666,-0.48304589153964794,0.3333333333333333,0.6666666666666666,1.0,1.0,1.0,1.0,1.0,1.0,1.0,holdout_model_DeepSeek,genre-only,full,0.01,0.9052,4,зарегистрирован до прогона,,,,
690,270,420,0.0,0.0,0.0,0.5,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,holdout_model_DeepSeek,source-only,full,1.0,0.5024,24,зарегистрирован до прогона,,,,
690,270,420,0.7962962962962963,0.8111111111111111,0.8168985752954268,0.8923280423280423,0.9112345679012347,0.01904761904761905,0.005649717514124294,0.041935483870967745,0.01904761904761905,0.041916167664670656,0.0,0.0136986301369863,holdout_model_DeepSeek,format-only,full,10.0,0.9882,4,зарегистрирован до прогона,,,,
690,270,420,0.9148148148148149,0.9740740740740741,0.9303640244349306,0.9666666666666667,0.9948589065255733,0.03333333333333333,0.00881057268722467,0.06896551724137931,0.03333333333333333,0.041916167664670656,0.03333333333333333,0.0136986301369863,holdout_model_DeepSeek,main+M02,full,0.01,0.9955,23,зарегистрирован до прогона,,,,
,,,,,,,0.4148536155202822,,,,,,,,holdout_model_DeepSeek,negative-control,full,,,,post hoc: серия кластерных перестановок вместо одной,20,0.2882818505705918,0.0035802469135802466,0.9290388007054674
689,269,420,0.8587360594795539,0.9405204460966543,0.8881841591561079,0.9465967427863339,0.985006195786865,0.05476190476190476,0.019646365422396856,0.10882956878850103,0.05476190476190476,0.0718562874251497,0.044444444444444446,0.0410958904109589,holdout_model_NVIDIA,main,full,0.1,0.9984,22,зарегистрирован до прогона,,,,
689,269,420,0.10408921933085502,0.2899628252788104,0.38556550339386814,0.6550672685431049,0.8641440963002301,0.06904761904761905,0.03896103896103896,0.12692307692307692,0.06904761904761905,0.08383233532934131,0.044444444444444446,0.0958904109589041,holdout_model_NVIDIA,main,net,0.1,0.9943,18,зарегистрирован до прогона,,,,
689,269,420,0.0,0.0,-0.4118955627724907,0.289259160913436,0.2765622234023721,0.6928571428571428,0.4478114478114478,0.905511811023622,0.6928571428571428,0.31137724550898205,0.95,0.9315068493150684,holdout_model_NVIDIA,length-only,full,10.0,0.61,4,зарегистрирован до прогона,,,,
